Date,Close,High,Low,Open,Volume
4/22/2022,335.0166626,344.9500122,331.3333435,338.3033447,69696600
4/25/2022,332.6733398,336.206665,325.1000061,326.3233337,68341200
4/26/2022,292.1400146,333.3333435,291.6666565,331.8099976,136133700
4/27/2022,293.8366699,306,292.4533386,299.5266724,76956300
4/28/2022,292.5033264,300,273.8999939,299.9933472,124948500
4/29/2022,290.2533264,311.4666748,290,300.75,88133100
5/2/2022,300.980011,302.1199951,282.6766663,286.9233398,75781500
5/3/2022,303.0833435,308.0266724,296.1966553,301.0599976,63709500
5/4/2022,317.5400085,318.5,295.0933228,301.313324,81643800
5/5/2022,291.0933228,315.2000122,285.8999939,313.0066528,92519100
5/6/2022,288.5499878,296,281.0366821,295.6666565,72903000
5/9/2022,262.3699951,281.8766785,260.3833313,278.8166809,90810300
5/10/2022,266.6799927,275.1199951,258.0833435,273.1033325,84401700
5/11/2022,244.6666718,269.9233398,242.3999939,265,97224600
5/12/2022,242.6666718,253.2200012,226.6666718,233.6666718,140313000
5/13/2022,256.5299988,262.4500122,250.5233307,257.8266602,92150700
5/16/2022,241.456665,256.5866699,239.6966705,255.7200012,86098500
5/17/2022,253.8699951,254.8266602,242.9499969,249.1199951,80236200
5/18/2022,236.6033325,253.5,233.6033325,248.1733398,87811800
5/19/2022,236.4733276,244.6666718,231.3699951,235.6666718,90296700
5/20/2022,221.3000031,240.5266724,211,237.9966736,144973200
5/23/2022,224.9666595,226.6533356,212.6866608,218.3399963,88903500
5/24/2022,209.386673,217.9733276,206.8566742,217.843338,89092500
5/25/2022,219.6000061,223.1066742,207.6699982,207.9499969,92139300
5/26/2022,235.9100037,239.5566711,217.886673,220.4733276,106003200
5/27/2022,253.2100067,253.2666626,240.1766663,241.0833282,89295000
5/31/2022,252.7533264,259.6000061,244.7433319,257.9466553,101914500
6/1/2022,246.7899933,257.3266602,243.6399994,251.7200012,77247900
6/2/2022,258.3333435,264.2099915,242.0666656,244.156662,93473100
6/3/2022,234.5166626,247.7966614,233.4166718,243.2266693,112393800
6/6/2022,238.2799988,244.8666687,234.3500061,244.3533325,84204600
6/7/2022,238.886673,239.9966736,230.093338,234,72808500
6/8/2022,241.8666687,249.9633331,239.1766663,240.0866699,76210500
6/9/2022,239.706665,255.5466614,239.3266602,249.3399963,96491400
6/10/2022,232.2299957,239.5,227.9133301,235.156662,97536600
6/13/2022,215.7366638,226.6333313,214.6833344,223.1666718,102767400
6/14/2022,220.8899994,226.3300018,211.7366638,218.2866669,97988700
6/15/2022,233,235.6633301,218.1499939,220.9166718,119131800
6/16/2022,213.1000061,225.1666718,208.6933289,222.7366638,107390700
6/17/2022,216.7599945,220.9700012,213.1966705,213.4333344,92641800
6/21/2022,237.0366669,243.5766602,224.3333282,224.6033325,122793000
6/22/2022,236.0866699,246.8333282,233.8266602,234.5033264,101107500
6/23/2022,235.0700073,239.3166656,228.636673,237.906662,104202600
6/24/2022,245.706665,246.0666656,236.0866699,237.4700012,95770800
6/27/2022,244.9199982,252.0700073,242.5666656,249.3666687,89178300
6/28/2022,232.6633301,249.9700012,232.343338,244.4833374,90391200
6/29/2022,228.4900055,231.1733398,222.2733307,230.5,82897200
6/30/2022,224.4733276,229.456665,218.863327,224.5099945,94600500
7/1/2022,227.2633362,230.2299957,222.1199951,227,74460300
7/5/2022,233.0666656,233.1466675,216.1666718,223,84581100
7/6/2022,231.7333374,234.5633392,227.1866608,230.7799988,71853600
7/7/2022,244.543335,245.363327,232.2100067,233.9199982,81930600
