Date,Close,High,Low,Open,Volume
12/1/2021,139.8117523,144.6676955,139.6734825,142.7343386,34020000
12/2/2021,141.7094116,142.6000129,138.9820853,140.0084909,29194000
12/3/2021,140.7534332,143.1308512,139.0678786,142.4181763,41230000
12/6/2021,141.8967896,142.5881537,138.9181961,141.783294,30618000
12/7/2021,145.9751129,146.2343196,143.9510532,144.3168132,32240000
12/8/2021,146.8840485,147.0887458,145.1192105,146.2992377,24270000
12/9/2021,146.3408661,147.7895226,145.8219687,146.293783,23270000
12/10/2021,146.7006836,147.6681033,145.4145869,147.3930459,24458000
12/13/2021,144.5447998,146.6694537,144.23851,146.4826035,27070000
12/14/2021,142.6421356,143.2100973,139.9737955,142.7026041,38446000
12/15/2021,145.1538696,145.4314074,140.4327329,142.1485213,36370000
12/16/2021,143.1754456,146.3790334,142.3447984,145.8769849,33650000
12/17/2021,140.4793549,142.5703111,140.0580872,141.2475372,50416000
12/20/2021,140.362381,140.5284197,138.0964776,138.7695106,27192000
12/21/2021,142.2114868,142.6045015,139.2675897,140.8049525,28756000
12/22/2021,145.1280975,145.2123571,141.8100314,141.8100314,26322000
12/23/2021,145.6252136,146.9405461,145.1647883,145.2123705,26384000
12/27/2021,146.6064911,147.0401457,145.8759693,145.9617111,15976000
12/28/2021,145.3977051,146.9955361,144.7707722,146.9330863,18200000
12/29/2021,145.3660126,146.1213238,144.3673756,145.3556068,17788000
12/30/2021,144.9154816,146.0053201,144.7112985,145.4046437,15688000
12/31/2021,143.5788422,145.4091091,143.5788422,144.7663105,18136000
1/3/2022,143.7171326,144.5690753,142.4498663,143.7800663,28646000
1/4/2022,143.1303253,145.1974901,142.4533298,144.1180573,28400000
1/5/2022,136.5640564,143.2294557,136.4778306,143.1506561,54618000
1/6/2022,136.5367889,138.7100232,135.3582441,135.7943792,37348000
1/7/2022,135.8126984,137.2316196,134.573186,136.9312738,29760000
1/10/2022,137.4506989,137.5993895,131.9940938,133.8907735,44408000
1/11/2022,138.5078125,138.9836045,135.491075,136.7940204,28730000
1/12/2022,140.1874237,141.3545798,139.4579001,139.9093868,26108000
1/13/2022,137.3689423,141.5944746,137.1924978,140.2959757,31436000
1/14/2022,138.2545776,139.5049951,135.7943977,135.8741804,29662000
1/18/2022,134.8026733,135.9262098,134.2480969,134.9781196,34872000
1/19/2022,133.9289246,136.7469389,133.8288143,135.3235557,28648000
1/20/2022,132.1358185,136.4163738,131.7958309,135.0524609,29908000
1/21/2022,129.2058258,133.6801441,128.9431555,131.4281249,55652000
1/24/2022,129.6543274,130.0498225,123.4057342,124.8707405,76622000
1/25/2022,125.8193283,128.261676,125.3886532,127.6084715,46960000
1/26/2022,128.0971069,131.8309952,126.0244824,129.9665315,49130000
1/27/2022,127.8711243,131.4865563,127.7992518,130.1499134,31950000
1/28/2022,132.1789246,132.1843846,127.3556964,128.5193736,34362000
1/31/2022,134.1142883,134.2823084,131.0474879,132.9828264,39986000
2/1/2022,136.4342194,136.5819118,133.1875109,136.3851549,68644000
2/2/2022,146.6991882,150.2145107,144.2434703,149.9206231,123200000
2/3/2022,141.8323364,148.3594656,141.411568,144.424857,71518000
2/4/2022,142.0335541,143.6016501,139.2799709,142.183727,57998000
2/7/2022,137.9775543,142.9821742,137.6791898,142.9821742,54974000
2/8/2022,138.1737823,138.7694979,135.8097503,137.8045588,54284000
2/9/2022,140.3474884,141.2718026,138.9548387,139.7245182,40144000
2/10/2022,137.4016418,140.2409672,136.7444746,138.47563,39330000
2/11/2022,133.1022644,137.9334188,132.2275136,137.3818218,39958000
2/14/2022,134.3348236,135.1020228,132.0852702,132.0852702,34302000
2/15/2022,135.4078217,136.8946378,134.6277362,136.3613569,26680000
2/16/2022,136.5274048,136.8723382,133.738127,135.4454913,25022000
2/17/2022,131.374054,135.90834,131.3140846,135.0454926,38950000
2/18/2022,129.2568665,132.891644,129.0521842,132.2939319,45620000
2/22/2022,128.6725464,131.0187315,127.0965098,128.6968215,44990000
2/23/2022,126.4665909,130.8903618,126.4066215,130.4914031,32786000
2/24/2022,131.5247345,131.8310243,123.8552462,123.8552462,54456000
2/25/2022,133.27771,134.0825696,130.5935034,132.378185,36406000
2/28/2022,133.8699341,134.5583185,131.4270876,131.8805707,38864000
3/1/2022,132.883194,135.0579106,132.0476161,133.6930145,26496000
3/2/2022,133.3887177,134.0736386,131.9019016,133.4447243,23520000
3/3/2022,132.7226257,135.2402943,131.8562995,134.814565,24604000
3/4/2022,130.7471313,132.6750435,129.1919215,131.7591687,30430000
3/7/2022,125.2677231,130.5771419,125.1849533,130.3323188,45112000
3/8/2022,125.9873428,130.0964071,124.5699112,125.1403535,40428000
3/9/2022,132.2473297,132.5600626,128.7587629,130.0964043,37026000
3/10/2022,131.265564,132.1006579,129.7618988,130.1122922,27102000
3/11/2022,128.7290192,132.6195239,128.4921214,132.3152155,31526000
3/14/2022,124.8439789,129.2627965,124.1739255,129.1051974,38812000
3/15/2022,128.062439,128.7131781,124.6155028,125.8599687,30920000
3/16/2022,132.1090546,132.1610834,127.6030057,129.5839448,35576000
